ItemCode,U_IL_iva
ItemCode,U_IL_iva
4994,IVAV16
CINS-5231,IVAV16
CINS-8052,IVAV16
CN-5009,IVAV16
FAND-100,IVAV16
FAND-101,IVAV16
FAND-102,IVAV16
FAND-103,IVAV16
FAND-104,IVAV16
FAND-105,IVAV16
FAND-106,IVAV16
FAND-107,IVAV16
FAND-108,IVAV16
FAND-109,IVAV16
FAND-110,IVAV16
FAND-111,IVAV16
FAND-112,IVAV16
FAND-113,IVAV16
FAND-114,IVAV16
FAND-115,IVAV16
FAND-116,IVAV16
FAND-117,IVAV16
FAND-118,IVAV16
FAND-119,IVAV16
FAND-120,IVAV16
FAND-121,IVAV16
FAND-122,IVAV16
FAND-123,IVAV16
FAND-124,IVAV16
FAND-125,IVAV16
FAND-126,IVAV16
FAND-127,IVAV16
FAND-128,IVAV16
FAND-129,IVAV16
FAND-130,IVAV16
FAND-140,IVAV16
FAND-141,IVAV16
FAND-142,IVAV16
FAND-143,IVAV16
FAND-144,IVAV16
FAND-145,IVAV16
FAND-150,IVAV16
FAND-151,IVAV16
FAND-200,IVAV16
FAND-201,IVAV16
FAND-202,IVAV16
FAND-203,IVAV16
FAND-204,IVAV16
FAND-205,IVAV16
FAND-240,IVAV16
FAND-250,IVAV16
FAND-251,IVAV16
FAND-252,IVAV16
FAND-253,IVAV16
FAND-254,IVAV16
FAND-255,IVAV16
FAND-256,IVAV16
FAND-495,IVAV16
FAND-496,IVAV16
FAND-497,IVAV16
FAND-498,IVAV16
FAND-499,IVAV16
FAND-500,IVAV16
FAND-501,IVAV16
FAND-502,IVAV16
FAND-503,IVAV16
FAND-504,IVAV16
FAND-505,IVAV16
FAND-700,IVAV16
FAND-701,IVAV16
FAND-702,IVAV16
FAND-703,IVAV16
FAND-704,IVAV16
FAND-705,IVAV16
FAND-706,IVAV16
FAND-900,IVAV16
FAND-901,IVAV16
BYP-012020,IVAV16
BYP-AAC,IVAV16
BYP-AAL,IVAV16
BYP-AAR,IVAV16
BYP-ABB,IVAV16
BYP-ABM,IVAV16
BYP-AMA,IVAV16
BYP-ANA,IVAV16
BYP-ANB,IVAV16
BYP-ANM,IVAV16
BYP-AOR,IVAV16
BYP-APL,IVAV16
BYP-APR,IVAV16
BYP-ARB,IVAV16
BYP-BRE05,IVAV16
BYP-BRE10,IVAV16
BYP-BRE15,IVAV16
BYP-BRE20,IVAV16
BYP-BRE25,IVAV16
BYP-BRE30,IVAV16
BYP-BRE40,IVAV16
BYP-BRE50,IVAV16
BYP-BRE60,IVAV16
BYP-BTR40,IVAV16
BYP-BTR50,IVAV16
BYP-BTR60,IVAV16
BYP-CAL64,IVAV16
BYP-CEC9,IVAV16
BYP-CIX10,IVAV16
BYP-COM05,IVAV16
BYP-COM60,IVAV16
BYP-CPE9,IVAV16
BYP-CPL4,IVAV16
BYP-CPP,IVAV16
BYP-CPR9,IVAV16
BYP-EAL12,IVAV16
BYP-EAL24,IVAV16
BYP-EAL30,IVAV16
BYP-EEM2,IVAV16
BYP-EFV36,IVAV16
BYP-EFV54,IVAV16
BYP-EME12,IVAV16
BYP-EME24,IVAV16
BYP-EME30,IVAV16
BYP-ESP14,IVAV16
BYP-FEC14,IVAV16
BYP-FEC19,IVAV16
BYP-FES19,IVAV16
BYP-FMA62,IVAV16
BYP-FME2,IVAV16
BYP-FMP2,IVAV16
BYP-FPR29,IVAV16
BYP-FPR39,IVAV16
BYP-FPR49,IVAV16
BYP-K4P00,IVAV16
BYP-KMN,IVAV16
BYP-KPR00,IVAV16
BYP-MEX35,IVAV16
BYP-MMI4,IVAV16
BYP-MPR9,IVAV16
BYP-MSP7,IVAV16
BYP-PEQA,IVAV16
BYP-PFS,IVAV16
BYP-PGP,IVAV16
BYP-PPL,IVAV16
BYP-PPR,IVAV16
BYP-RCD0709,IVAV16
BYP-RCD0711,IVAV16
BYP-RCD0712,IVAV16
BYP-REC14,IVAV16
BYP-REP,IVAV16
BYP-RMD19,IVAV16
BYP-RMD29,IVAV16
BYP-RPR29,IVAV16
BYP-RPR39,IVAV16
BYP-RPR49,IVAV16
BYP-S0978,IVAV16
EX-70005,IVAV16
EX-70010,IVAV16
EX-700100,IVAV16
EX-700110,IVAV16
EX-70015,IVAV16
EX-70020,IVAV16
EX-70025,IVAV16
EX-70030,IVAV16
EX-70040,IVAV16
EX-70045,IVAV16
EX-70050,IVAV16
PF-A00460,IVAV16
PF-A00461,IVAV16
PF-A00462,IVAV16
PF-A00463,IVAV16
PF-A00464,IVAV16
PF-A00465,IVAV16
PF-A00467,IVAV16
PF-A00468,IVAV16
PF-A00469,IVAV16
PF-A00682,IVAV16
PF-A00683,IVAV16
PF-A00684,IVAV16
PF-A00685,IVAV16
PF-B00304,IVAV16
PF-B00305,IVAV16
PF-B00306,IVAV16
PF-B00307,IVAV16
PF-B00308,IVAV16
PF-B00309,IVAV16
PF-B00401,IVAV16
PF-B00402,IVAV16
PF-B00403,IVAV16
PF-F03202,IVAV16
PF-F03222,IVAV16
PF-F03310,IVAV16
PF-F03313,IVAV16
PF-F03402,IVAV16
PF-F03403,IVAV16
PF-F03420,IVAV16
PF-F03441,IVAV16
PF-F03447,IVAV16
PF-H00508,IVAV16
PF-P0012,IVAV16
PF-P0013,IVAV16
PF-P00513,IVAV16
PF-P0057,IVAV16
PF-P0063,IVAV16
PF-P0238,IVAV16
PF-P0258,IVAV16
